                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4843,                 5.3911,                 1.5036,                      0,                      0,                      0,                      0,                 1.2749,                 5.9131,                 1.5576,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.1876,                 4.9241,                 1.2271,                      0,                      0,                      0,                      0,                 1.0373,                 5.3596,                 1.0873,             4.3218e-05,             4.3218e-05,             4.3218e-05
                      3,                 1.0499,                 4.4813,                 1.0487,                    0.7,                0.73684,                0.82503,                0.60266,                0.85509,                 4.9024,                0.92498,             6.4456e-05,             6.4456e-05,             6.4456e-05
                      4,                0.92846,                 3.2866,                0.95459,                   0.25,                0.89474,                0.87784,                 0.6183,                0.83936,                 4.6143,                0.90356,             8.3714e-05,             8.3714e-05,             8.3714e-05
                      5,                0.95049,                 2.6617,                0.93295,                0.96231,                0.73684,                0.91746,                0.64776,                0.90826,                 4.2354,                0.92241,             0.00010099,             0.00010099,             0.00010099
                      6,                 0.9179,                 2.1931,                0.93661,                      1,                0.52424,                0.92158,                0.68499,                0.86364,                 3.8996,                0.91011,             0.00011629,             0.00011629,             0.00011629
                      7,                0.87669,                 1.9771,                0.92625,                      1,                0.63213,                0.93772,                0.69244,                 0.8261,                 3.6518,                0.89664,             0.00012961,             0.00012961,             0.00012961
                      8,                0.83133,                 1.7126,                0.90466,                      1,                0.59179,                0.94638,                0.71849,                0.86414,                  3.688,                 0.8927,             0.00014095,             0.00014095,             0.00014095
                      9,                0.82752,                 1.6105,                0.87654,                      1,                0.46058,                0.94627,                0.77112,                 0.7386,                 3.7485,                0.86585,              0.0001503,              0.0001503,              0.0001503
                     10,                0.82024,                 1.5239,                 0.9027,                      1,                0.38458,                0.94318,                0.77144,                0.71584,                 3.6406,                0.85578,             0.00015768,             0.00015768,             0.00015768
                     11,                 0.7683,                 1.5522,                0.87539,                      1,                0.50845,                  0.959,                0.78342,                0.74938,                  3.489,                0.84668,             0.00016308,             0.00016308,             0.00016308
                     12,                0.73369,                 1.4318,                0.87348,                      1,                  0.672,                0.97301,                0.78236,                0.79793,                 3.3088,                0.85313,              0.0001665,              0.0001665,              0.0001665
                     13,                0.75758,                 1.3641,                0.86995,                      1,                0.71364,                0.97755,                0.78773,                0.77248,                 3.2982,                0.85418,             0.00016794,             0.00016794,             0.00016794
                     14,                0.76733,                  1.499,                0.88698,                      1,                0.63004,                   0.99,                0.78806,                0.74721,                 3.4301,                0.85954,             0.00016739,             0.00016739,             0.00016739
                     15,                0.71413,                 1.3159,                0.86557,                      1,                0.58695,                   0.99,                0.80898,                0.76078,                 3.4935,                 0.8615,             0.00016487,             0.00016487,             0.00016487
                     16,                 0.7714,                 1.8669,                0.84212,                      1,                0.55015,                 0.9925,                0.81201,                0.74912,                 3.5436,                0.85528,             0.00016037,             0.00016037,             0.00016037
                     17,                0.63395,                 1.8928,                0.82252,                      1,                0.64006,                 0.9863,                0.82097,                0.75369,                 3.6084,                0.85501,             0.00015389,             0.00015389,             0.00015389
                     18,                0.69975,                 1.9888,                0.82606,                      1,                0.71254,                0.98818,                0.81787,                0.71512,                 3.5076,                0.84922,             0.00014543,             0.00014543,             0.00014543
                     19,                0.64866,                 1.8579,                0.85047,                      1,                0.82469,                0.98818,                0.82597,                0.71308,                 3.3145,                0.84761,             0.00013498,             0.00013498,             0.00013498
                     20,                0.66711,                 1.8202,                0.79423,                      1,                0.93789,                0.99024,                0.79272,                0.75905,                 2.8982,                0.85142,             0.00012256,             0.00012256,             0.00012256
                     21,                0.60179,                 1.7118,                0.80597,                      1,                0.95733,                  0.995,                0.79305,                0.75852,                 2.7079,                0.85025,               0.000104,               0.000104,               0.000104
                     22,                0.66081,                 1.7116,                0.81462,                      1,                0.97675,                  0.995,                0.80224,                0.74046,                 2.5766,                0.84996,               8.42e-05,               8.42e-05,               8.42e-05
                     23,                0.64796,                 1.6518,                 0.8065,                      1,                 0.9885,                  0.995,                0.82032,                0.72279,                 2.4501,                 0.8492,               6.44e-05,               6.44e-05,               6.44e-05
                     24,                 0.6273,                 1.6557,                0.81543,                      1,                0.99476,                  0.995,                0.83474,                0.71368,                 2.2326,                0.84931,               4.46e-05,               4.46e-05,               4.46e-05
                     25,                0.61376,                 1.6764,                0.80608,                      1,                0.99746,                  0.995,                0.83446,                0.71441,                 2.1579,                0.85184,               2.48e-05,               2.48e-05,               2.48e-05
