                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2532,                 4.8224,                 1.2537,                0.47561,                0.68421,                0.69187,                0.51977,                0.82194,                 4.6853,                 0.8994,                  7e-05,                  7e-05,                  7e-05
                      2,                0.98316,                 2.7264,                0.97135,                      1,                0.51581,                0.86099,                0.53618,                0.98387,                 3.7662,                0.89085,             0.00014213,             0.00014213,             0.00014213
                      3,                0.93949,                 1.7314,                0.92683,                0.22088,                0.96491,                 0.8956,                 0.6684,                 0.9022,                 3.8915,                0.87133,             0.00021129,             0.00021129,             0.00021129
                      4,                0.91935,                 1.5516,                 0.9357,                      1,                0.44541,                0.93367,                0.68742,                0.90043,                 3.4673,                0.87432,             0.00027748,             0.00027748,             0.00027748
                      5,                0.91797,                  1.457,                0.93445,                      1,                0.74063,                0.95557,                0.74552,                 0.8634,                 3.5952,                0.88416,              0.0003407,              0.0003407,              0.0003407
                      6,                0.93986,                 1.3903,                0.93077,                      1,                0.79404,                0.94673,                0.66178,                 1.0541,                 2.9782,                 0.9288,             0.00040094,             0.00040094,             0.00040094
                      7,                0.84022,                 1.3427,                0.90973,                0.98052,                0.88331,                0.93509,                0.73684,                0.82765,                 2.5153,                0.89383,              0.0004406,              0.0004406,              0.0004406
                      8,                0.82526,                 1.2541,                0.91564,                0.98113,                0.91216,                0.93631,                0.75225,                0.85776,                 2.0475,                  0.889,              0.0004307,              0.0004307,              0.0004307
                      9,                0.80046,                 1.1821,                0.92674,                0.98051,                0.88277,                0.95096,                0.75107,                0.82194,                 2.1682,                0.88623,              0.0004208,              0.0004208,              0.0004208
                     10,                0.80803,                 1.1827,                 0.9289,                      1,                 0.9098,                0.93529,                0.73388,                0.81544,                 1.7638,                0.90528,              0.0004109,              0.0004109,              0.0004109
                     11,                0.76729,                   1.16,                0.90913,                      1,                0.89421,                0.92087,                0.71578,                0.87896,                 1.7756,                0.91513,               0.000401,               0.000401,               0.000401
                     12,                0.80187,                 1.1105,                0.93829,                0.98105,                0.90845,                0.91761,                0.71401,                0.81934,                 1.6634,                0.89108,              0.0003911,              0.0003911,              0.0003911
                     13,                 0.7603,                 1.1329,                0.90818,                0.98081,                0.89661,                0.91897,                0.73677,                0.82942,                 1.6518,                 0.8929,              0.0003812,              0.0003812,              0.0003812
                     14,                 0.7753,                 1.0159,                0.91397,                0.99661,                0.89474,                0.92269,                0.72181,                 0.8497,                 1.5311,                 0.8998,              0.0003713,              0.0003713,              0.0003713
                     15,                0.75907,                 1.0106,                 0.8916,                0.99426,                0.89474,                0.92238,                0.75453,                0.77911,                 1.5049,                0.86711,              0.0003614,              0.0003614,              0.0003614
                     16,                0.75221,                 1.0262,                 0.9072,                0.99549,                0.91228,                0.91973,                0.67704,                0.95491,                 1.4701,                0.92215,              0.0003515,              0.0003515,              0.0003515
                     17,                0.78209,                0.98824,                0.90529,                0.97796,                0.91228,                0.91942,                0.74805,                0.80315,                 1.4987,                0.89881,              0.0003416,              0.0003416,              0.0003416
                     18,                0.73843,                0.95866,                0.90825,                      1,                0.89415,                0.92452,                0.74289,                0.79739,                 1.4535,                0.87951,              0.0003317,              0.0003317,              0.0003317
                     19,                0.73261,                0.94243,                0.91546,                0.99108,                0.91228,                 0.9333,                0.75055,                0.73176,                  1.399,                0.89102,              0.0003218,              0.0003218,              0.0003218
                     20,                  0.761,                0.91444,                0.89035,                0.99959,                0.91228,                0.93182,                0.75803,                0.72186,                 1.3715,                0.89578,              0.0003119,              0.0003119,              0.0003119
                     21,                0.69677,                0.92958,                0.90078,                0.99883,                0.91228,                0.94123,                0.75061,                0.72772,                 1.3397,                0.88716,               0.000302,               0.000302,               0.000302
                     22,                0.69883,                 0.8958,                0.90097,                0.99641,                0.89474,                0.95598,                0.78606,                0.68956,                 1.3075,                0.89927,              0.0002921,              0.0002921,              0.0002921
                     23,                0.64783,                0.87427,                0.89578,                0.99898,                0.91228,                0.95598,                0.76063,                0.78166,                 1.2672,                 0.9033,              0.0002822,              0.0002822,              0.0002822
                     24,                0.67886,                0.83285,                0.87333,                0.99828,                0.91228,                0.95101,                0.76648,                0.76561,                 1.2926,                0.90392,              0.0002723,              0.0002723,              0.0002723
                     25,                0.63817,                0.86196,                0.89853,                0.99717,                0.91228,                0.94953,                0.76514,                0.78214,                 1.2945,                0.90893,              0.0002624,              0.0002624,              0.0002624
                     26,                0.63898,                0.80185,                0.87612,                      1,                0.89379,                0.93925,                0.77946,                0.72696,                 1.2316,                0.89577,              0.0002525,              0.0002525,              0.0002525
                     27,                0.63589,                0.83354,                0.87525,                0.99794,                0.89474,                0.93831,                0.76022,                0.75465,                 1.2692,                0.89449,              0.0002426,              0.0002426,              0.0002426
                     28,                 0.6244,                0.82896,                0.89572,                0.98108,                0.90973,                0.93461,                0.78177,                0.72846,                 1.2506,                0.88066,              0.0002327,              0.0002327,              0.0002327
                     29,                0.58327,                0.79119,                0.86365,                0.98111,                0.91112,                0.93172,                0.76598,                0.76744,                  1.224,                0.89053,              0.0002228,              0.0002228,              0.0002228
                     30,                0.64238,                0.80469,                0.90769,                0.98111,                0.91115,                 0.9285,                0.74941,                0.77756,                 1.2631,                0.90239,              0.0002129,              0.0002129,              0.0002129
                     31,                0.59872,                0.78572,                0.87628,                      1,                0.89222,                0.93511,                0.74817,                0.77019,                 1.2117,                0.89274,               0.000203,               0.000203,               0.000203
                     32,                  0.621,                0.78654,                0.87543,                0.99875,                0.89474,                0.93805,                0.74958,                0.78778,                  1.201,                0.89095,              0.0001931,              0.0001931,              0.0001931
                     33,                0.62087,                0.75161,                0.87426,                0.99773,                0.89474,                0.93838,                0.75311,                0.77687,                 1.2169,                0.88533,              0.0001832,              0.0001832,              0.0001832
                     34,                0.57762,                0.73084,                0.87268,                0.99652,                0.91228,                0.92915,                0.77196,                0.74556,                 1.1949,                0.88755,              0.0001733,              0.0001733,              0.0001733
                     35,                0.56438,                0.72658,                0.87189,                0.99411,                0.91228,                0.92859,                0.75809,                0.78229,                  1.201,                0.89817,              0.0001634,              0.0001634,              0.0001634
                     36,                0.54498,                0.75435,                0.86671,                0.97879,                0.91228,                0.93119,                0.77038,                  0.738,                 1.1765,                0.89251,              0.0001535,              0.0001535,              0.0001535
                     37,                0.55378,                0.69418,                0.86395,                0.97963,                0.91228,                0.93505,                0.77101,                 0.7479,                 1.1464,                 0.8868,              0.0001436,              0.0001436,              0.0001436
                     38,                0.56673,                0.70668,                0.87453,                0.98113,                0.91219,                0.93941,                0.77057,                0.72466,                 1.1347,                 0.8842,              0.0001337,              0.0001337,              0.0001337
                     39,                0.57259,                0.70055,                0.86362,                0.98111,                0.91117,                0.94378,                0.76909,                0.73117,                 1.1395,                0.87887,              0.0001238,              0.0001238,              0.0001238
                     40,                0.55662,                0.70642,                0.87199,                0.98105,                0.90846,                0.94095,                0.76587,                0.78085,                 1.1342,                0.89074,              0.0001139,              0.0001139,              0.0001139
                     41,                0.53029,                 0.9385,                0.82957,                0.99689,                0.89474,                0.94255,                0.77846,                 0.7306,                 1.1289,                0.88581,               0.000104,               0.000104,               0.000104
                     42,                0.49822,                 0.9666,                0.81878,                      1,                0.91089,                0.94575,                0.77373,                0.75426,                 1.1876,                0.88652,               9.41e-05,               9.41e-05,               9.41e-05
                     43,                0.49378,                0.91904,                 0.8227,                      1,                0.91143,                0.94453,                0.76737,                0.76346,                 1.1096,                0.89085,               8.42e-05,               8.42e-05,               8.42e-05
                     44,                0.45024,                0.86174,                0.81572,                      1,                0.91134,                 0.9414,                0.77091,                0.75015,                 1.0879,                 0.8844,               7.43e-05,               7.43e-05,               7.43e-05
                     45,                0.45965,                0.86692,                0.82409,                      1,                0.91096,                0.94202,                0.77751,                0.73945,                 1.0776,                0.88074,               6.44e-05,               6.44e-05,               6.44e-05
                     46,                0.47118,                0.87179,                0.81742,                0.99864,                0.91228,                0.94091,                0.77953,                0.73203,                 1.0628,                 0.8707,               5.45e-05,               5.45e-05,               5.45e-05
                     47,                0.44075,                0.86259,                0.79989,                0.99826,                0.91228,                0.94099,                0.78751,                0.72752,                 1.0567,                0.86687,               4.46e-05,               4.46e-05,               4.46e-05
                     48,                 0.4603,                0.84284,                0.81593,                0.99983,                0.91228,                0.94117,                0.79418,                0.71784,                 1.0442,                0.86467,               3.47e-05,               3.47e-05,               3.47e-05
                     49,                0.41921,                 0.8332,                0.79414,                      1,                0.91101,                0.94162,                   0.79,                0.71154,                 1.0386,                0.86158,               2.48e-05,               2.48e-05,               2.48e-05
                     50,                0.43764,                0.83127,                0.80969,                      1,                 0.9099,                0.94128,                0.79277,                0.70956,                 1.0415,                 0.8624,               1.49e-05,               1.49e-05,               1.49e-05
